text	time	political_position
If you look at the success of the YIMBY movement over the years, clearly a lot has been done to shift views — both mass opinion and elite consensus — but that work hasn’t really been done by politicians, politicians are trying to win elections.	2026-02-14 13:41	
What does “working politicians” mean?  Unemployed politicians are the only ones allowed to change public opinion?  What are you really trying to say?	2026-02-14 13:42	
Gotta disagree with you on this…*leaders* should be out there changing public opinion, regardless of their role…but I really want to see some leadership in congress. I think truly the problem is that money corrupts everything, even leadership. Ban pacs & corporate political $$$ and keep indiv limits	2026-02-14 13:46	
Leaders should lead	2026-02-14 13:47	
This seems silly. A “working politician” has policy positions and views. People elect them because they agree with them. To get elected, your hypothetical “working politician” needs to get folks to agree. Not a hard equation.	2026-02-14 13:48	
"Case in point:

bsky.app/profile/whit..."	2026-02-14 13:48	
No offense but this take is 👎 for me. Just look at opinion polling on issues. Part of this country’s dysfunction is that the people are relatively on the same page but the politicians don’t work for us. They work for corporations and their own private interests. Opinions be damned.	2026-02-14 13:52	
Just a citizen here. I think you are mistaken. Politicians can/should lead and sometimes that means convincing voters about what should be done in the public interest. That is as important as winning.	2026-02-14 13:57	
For example you worked to see if you could change people's minds about pedophilia while including a photo of a clearly underage 16 year old Scarlett Johannson	2026-02-14 14:27	
Please apply this framework to yourself.  You are not a working politician, yet your public advocacy is mostly pandering to awful right wing ideas	2026-02-14 15:04	
The issue is that probably the most powerful force shaping voter’s opinions are the elite signals determined by working politicians. Most people don’t have opinions about most things and adopt a political identity for relatively weak reasons. They then adopt the ideas of their party.	2026-02-14 15:52	
"I agree politicians exist first and foremost to represent their constituents in principle, but the reality is they are leaders in this country and leaders hold influence

Ultimately it is everyone's responsibility to advocate for the good, reasonable ppl should be trying to persuade others"	2026-02-14 16:25	
We’ve elected “working politicians” ad nauseam my entire lifetime.	2026-02-14 16:53	
I guess I am a little confused. I thought we hated ”the groups”??????	2026-02-14 17:08	
What makes this really stupid is that this is obv not how politics works. Did Heritage et al persuade voters Project 2025 was the way to go? Or did people just follow the guy they saw as embodying their id and adopt all his ideas and values?	2026-02-14 18:02	
This is dumb as hell, and obviously so.	2026-02-14 18:25	
You’re a huge dumbass and don’t know what you’re talking about	2026-02-14 18:25	
I appreciate you saying this, and I could not disagree with you more.	2026-02-14 18:26	
Upon what evidence do you base this assertions? Your vibes? Because if it’s that, your instincts have been unreliable since as long as I’ve been aware of you.	2026-02-14 18:26	
No no you can’t do that that’s the groups	2026-02-14 18:27	
This feels like the last gasp of a losing argument. There is a very strong case for non politicians to take the lead in changing public opinion but it is just wildly at odds with all of american and frankly world history to suggest politicians do not have a role here.	2026-02-14 18:32	
Doesn’t that make you look worse?	2026-02-14 18:32	
Jesus H Struggling Christ. The whole point of oratory and rhetoric, whether they’re being deployed on a trial jury, your fellow Roman Senators, or the electorate aka public, is to change people’s minds. What you are preaching, is anti-politics.	2026-02-14 18:36	
So many transformative moments in American history would have failed without their champions among the elected helping to amplify and crystallize public will into a successful movement. It’s an essential piece and maybe the proliferation of this view, is part of the problem in the last 40 years	2026-02-14 18:41	
“Public opinion” is mostly uneducated.  Politicians should have knowledge and at least a grasp of what’s happening, so they can let us know, and advise  .	2026-02-14 19:05	
MAGA then fills your opinion black hole with garbage. You love that Republicans are masters at right wing reactionary populist propaganda.	2026-02-14 19:05	
Lincoln would disagree.	2026-02-14 19:10	
Lol. Keep contorting your position so you are always right and never wrong. You are a coward and want Dem politicians to continue being cowards too. No, thanks.	2026-02-14 19:10	
just admit you were wrong	2026-02-14 19:12	
Working politicians are supposed to be WORKING!  Working for us. and that means LEADERSHIP, changing public opinion for the better!	2026-02-14 19:13	
I'd be embarassed to post the dumbest shit day in and day out, but Matt Y isn't held back by shame or introspection.  He just powers through, confidently stating objectively wrong and frankly silly takes.	2026-02-14 19:13	
"Political consultant class: ""We've written countless articles about how Democratic politicians should chase polls, for decades now, and now you expect them to lead? Preposterous!"""	2026-02-14 19:19	
So uh, William Wilberforce shouldn't have advocated for the abolition of slavery?	2026-02-14 19:23	
I know you’re wrong about most things, but this is one of your wrongest takes yet.	2026-02-14 19:25	
our job is to persuade you to dump your flaccid opinions in an unsaved text document and never publish another word	2026-02-14 19:27	
