text	time	political_position
The commander-in-chief is totally out of control and they recognize this. Amendment time.	2026-06-09 16:41	center-left
That didn’t help Amy McGrath in Kentucky. No they’re going with Mitch McConnell‘s Lackey Andy Barr. It’s disgraceful how many Republicans are supporting the president.	2026-06-09 16:41	center-left
BRING ON THE MATRIARCHY!!	2026-06-09 16:46	center-left
I think they got the message. These are people who intimately understand authoritarianism and the price of freedom. This is good. I am barely surviving but when these no AIPAC people run in my area, I give em 5 bucks. Not donating to main democratic fund because of reasons but individuals yes.	2026-06-09 16:50	left
Make sure they're not backed by AIPAC.	2026-06-09 16:51	left
Good. Finally people are getting the message. The Regime is burning this country to the ground and our military with it.	2026-06-09 16:52	center-left
Great! Women are better educated? More valedictorians in high school and better graduation rates and more degrees at the college level too. Something like that I just looked it up last week. Democrats should replay Trump’s red face and walking off from face the nation	2026-06-09 16:52	center-left
I wonder if they are funded by right wing groups. It's clear that women are less electable these dark days, and flooding the field with piles of dem candidates dilutes dem votes. Source: my armchair.	2026-06-09 16:56	center-left
Best of luck to all of them. We need them in Washington to combat the sycophancy of the Republican party and their Leader!	2026-06-09 16:56	center-left
"""The number of Democratic and women veterans running for federal office this year is at record levels ..."" And if they get elected Hegseth will accuse the voters of promoting DEI & Trump will accuse the voters of fraud."	2026-06-09 17:02	center-left
This is why I am surprised people in the military currently aren’t rebelling against the current administration	2026-06-09 17:03	center-left
Yeah. Prove to the orange gasbag that we're more than a pretty face, a nice rack, and a baby making machine. And we're not repeating the 50s to make Dementia Don happy.	2026-06-09 17:04	center-left
Military background qualifies you for two things - being a mechanic or being a killer. This is what is wrong with the Democratic Party and no ex military will get my vote. Young Progressives are what will change this nightmare but it won't happen in my lifetime.	2026-06-09 17:06	left
Vote blue, vote women and veterans.	2026-06-09 17:09	center-left
Why are you showing Iowa Republican Miller-Meeks?	2026-06-09 17:13	middle
We don't want centrist Democrats. We need revolutionary change.	2026-06-09 17:15	left
This needs to happen more for sure!	2026-06-09 17:18	center-left
I don't care who they are as long as they understand they are working for us and what we want is action, not talk.	2026-06-09 17:21	middle
