text	time	political_position
"I think it worked.
bsky.app/profile/rivk..."	2026-06-09 16:23	
Rule of Law	2026-06-09 16:57	
The billionaires are the real enemy	2026-06-09 17:06	
Jeffrey Epstein's buddies are the greediest pigs in the universe 💯🌍	2026-06-09 17:09	
"Albanian needs more protesters in European capitals to show Member country governments support. 

Sorry. I’m a move to EU or European politics. 

I’m actually quite ignorant on it to be honest. 

But I’m willing to learn!!"	2026-06-09 17:10	
I hope that does something because of course, over the seas here, we didn't have anything but corruption to add	2026-06-09 17:18	
Tax the rich!	2026-06-09 17:21	
As it should...Italy and Europe should not want this.	2026-06-09 17:34	
Why is o.k. for billionaires not to ever give us cost of living pay increases, as we fund their tax cuts to make them exponentially richer?😕ort	2026-06-09 17:42	
And rightly so! Why should we accept that Trump/Kushner/Thiel would own a military base with nuclear bunkers and submarine port that could control the whole Eastern part of the Mediterranean? Look up what this project is really about! It's not a holiday resort!	2026-06-09 17:45	
What about the Prime Minister? Wasn’t he the one who secretly changed the environmental protected zoning status on the island and approved the Kushner-Trump development? If so, he needs to be removed from power and held accountable.	2026-06-09 17:50	
bsky.app/profile/mjkw...	2026-06-09 18:03	
"Clearly, the real reason for kushner wants to develop that island, is to take control of the inlet 🤬
Albanians 🇦🇱 need to kick the trumps and their corrupt politicians OUT"	2026-06-09 18:18	
The Trump family is the most vile display of how wealth & the sociopathy of greed elevates monsters	2026-06-09 18:29	
EVERYTHING THEY TOUCH DIES!!!	2026-06-09 18:34	
They are right to reject Kushner. Throw out the trash.	2026-06-09 18:35	
trump brand got screw wormed.	2026-06-09 18:42	
Nice!	2026-06-09 19:03	
Shame on EU	2026-06-09 19:04	
They'd rather be the 51st State of America....	2026-06-09 19:09	
Put Ukraine ahead of them.	2026-06-09 19:11	
More Trumps fucking things up!	2026-06-09 19:11	
Rightly so as Trumpanzees are no indigenous species in the EU.	2026-06-09 19:11	
Albania was one of the countries most repressed by the USSR. They were forced to bend....but the people will not bend anymore. Certainly not to Putin's Americans. They do not sell their own land lands to the bringers of barbed wire and privilege.	2026-06-09 19:23	
The solution for all is to tell jarred and ivanka to fuck off home to the dump called mar a lago.	2026-06-09 19:44	
Albania's journey to integration will likely involve navigating complex political and economic reforms.	2026-06-09 19:46	
excellent	2026-06-09 19:51	
Not to mention the Prime Minister is an asshole trumper	2026-06-09 19:53	
I wouldn't wnt a trump to come to my country and ruin it.	2026-06-09 20:06	
Arrest them and confiscate all their assets and send them home!	2026-06-09 20:17	
"Trump hates the EU and NATO. 
Brexit has been a disaster for the UK, Trump, Murdoch and Farage love Brexit. 

www.bloomberg.com/opinion/arti..."	2026-06-09 20:17	
Bravo EU commission!!!	2026-06-09 20:49	
They can fuck off with their fascistic corruption.	2026-06-09 20:58	
"at first, I thought this was that the Commission was on the side of Jared, but the article's bullet points say:

""...officials warned the Albanian government the project could conflict with environmental benchmarks any country seeking to join the EU needs to meet""

so yes, Bravo EC!"	2026-06-09 21:10	
"The Trump Family/Friends Are Becoming Pariahs In The Free World!
And Nobody Wants Anything To Do With Them!"	2026-06-09 21:17	
"Aren't Jared and Ivanka  satisfied with ethnic cleansing and exploitation in Gaza?
Is this a little side gig they're starting?
Maybe they want to be the Chip and JoJo of fascist colonialism. A new market niche."	2026-06-09 21:31	
"It’s unbelievable how a very corrupt dictator like Trump, 

is still able to expand his totally corrupt and diseased empire. This must stop. This 34-time convicted dictator belongs behind bars. And many, many of his comrades too."	2026-06-09 21:48	
"😂😂😂😂😂😂😂😂😂😂😂😂

Fuck nasty grifters ivanka and jared."	2026-06-09 21:48	
You can't be in the EU if you're against corporate destruction of the environment.	2026-06-09 21:57	
"Edi Rama has been PM of Albania since 2013.

Rama’s greed and corruption is perfect lackey for the Nazi Kushner family to use.

Albania can do better than this ancient greedy Nazi👇🏼"	2026-06-09 22:12	
What! WHY!	2026-06-09 22:16	
This is how these grifters get away with everything.	2026-06-09 22:16	
Small price to pay, they aren’t going to embargo Albania over this conspiracy to seize control of southern European sea lanes.	2026-06-09 22:25	
Try downplaying the week long protests featuring tens of thousands of Albanians objections.	2026-06-09 22:31	
What the fuck, EU?	2026-06-09 22:48	
Wow,way to throw yr weight around EU! Yr learning.	2026-06-09 22:50	
😳 WHOA! + Good Job EU For Attempting To Protect Your Neighbors + Neighborhood!!!!	2026-06-09 22:54	
Maybe Jared and Ivanka could find an island in the Everglades somewhere for all their friends. They would have extra friends with the alligators, snakes and pythons.	2026-06-09 22:55	
Trump supporting “Forbes” purposely words the headline to avoid pointing out that the problem is the Jared and Ivanka project.	2026-06-09 22:58	
Oh, Rama will be forced to resign. There will not be another peaceful day in Albania. They're bound and determined.	2026-06-09 23:02	
Ella Purnell is a nerd know it all who is a white supremacist. She has been using the n word and other racial slurs. Despite being an upcoming actor she is arrogant and thinks she is better than everyone. She pretends to be normal person but she is manipulative, rude and scummy.	2026-06-09 23:05	
The Trump Taint	2026-06-09 23:09	
Ian McKellen is a white supremacist who hates immigrants and anyone that is not white. He is entitled and a shallow loser who hates anyone who criticises him and UK. He likes to lie about being a method actor.c	2026-06-09 23:11	
"So much for democratic rights. 

Until we all have as much solidarity as the Epstein class, “nothing will fundamentally change,”just as Biden promised his owners."	2026-06-09 23:18	
"Yeah, you were scooped. 
    Get cheaper."	2026-06-09 23:21	
It will take at least 10 years for Albania tp join the European Union. It doesn't happen over night	2026-06-09 23:42	
Threaten the main man's money flow. He'll pull the plug on that island pronto, without the 100 000 protesters	2026-06-09 23:44	
Everything a Trump touches dies	2026-06-10 00:13	
"It’s about time the EU stood up to this American trash.
Now they just need to boycott all things American but we know some of the EU trash will be here at the World Cup bc sports matter more than democracy to a certain demographic."	2026-06-10 00:54	
Considering the deal looks as popular as colorectal cancer in the country, maybe the best option is not to go through with it.	2026-06-10 00:57	
Join the juice party	2026-06-10 01:03	
Post communist countries  like Albania have been slow in implementing legislation  to return land and property previously confiscated by communists, so many people are shocked to find out they could just walk barefoot on a piece of land and the goverment will expedite you a deed to that land 😄	2026-06-10 01:45	
Very poorly-worded title. Misleading as hell. Hey Forbes, no one trusts you. Gosh, wonder if you didn't realize how this reads. Your right-leaning bias is showing again. You have a massive loss in digital readers and web traffic and more than anyone you know this. That's why it's written that way.	2026-06-10 01:47	
FAFO indeed. If they keep fucking around, they will find out. And they have been warned.	2026-06-10 01:48	
No EU for Albania bc even current government is corrupt. Selling flamingos to Kushner is idiot move.	2026-06-10 02:07	
Nasty pieces of work!	2026-06-10 02:15	
"That’s a real shitty way to get around what the Albanian people want with THEIR land. Not everyone thinks only about the money. A lot of people like our EARTH! The apple didn’t fall far from the tree branch! Yes I said branch! He’s no tree!
Everyday it’s something with one of them, everyday!"	2026-06-10 02:40	
Don't the Kushners have enough money? Aren't there enough luxury hotels around the world? How about helping solve hunger, homelessness, gun violence, etc. instead of building yet another high priced hotel for rich people?	2026-06-10 02:59	
"Headline 2056:

’The European Commission has warned the English government about its efforts to join the EU’

Why The Trident Airstrip One Project Could Ruin England’s Bid To Join EU"	2026-06-10 04:04	
"The European Commission has warned 

#Money as RELIGION

Let's #DESTROY work AND economy 

> DECOLONIZATION - EMANCIPATION"	2026-06-10 05:45	
Most investors take quick returns. No one is interested in the long trade.	2026-06-10 07:16	
Albania should just become a US state. We want nothing more to do with anything that even smells like Trump	2026-06-10 08:20	
scotland should close Trumps Golf resort before ever considering joining the EU again	2026-06-10 09:45	
Evasive men i think tech vision they the UN like girls and won't support change try its evasive men i think in UN like Navy people who are corrupt	2026-06-10 10:16	
A good move and one that clearly supports the people protesting against the Kushner-Trumps.	2026-06-10 10:34	
I don't claim to know anything about Albania's practices but couldn't they just deny a permit for Kushner to operate this thing he plans?	2026-06-10 10:42	
Fuck around, find out.	2026-06-10 10:45	
"The simple fact is this ...

Siding with Trump in any way...

... means you support a criminal with a history of corruption and SA

And therefore, identifies individuals, companies and countries...

...to avoid"	2026-06-10 11:50	
Well, you know Jared and Trumpette won’t care. Daddy want to destroy the EU one country at a time. It’s far too threatening to his extremism ideology to have a powerful collective of liberal democracies.	2026-06-10 13:08	
Just put Jared, Ivanka and the leader of Albania is a nice prison, then it's legit.	2026-06-10 13:20	
"What sticks with me is:  ""Albania!  You border on the Adriatic!"" from Cheers... and damn it if they weren't right that singing it makes it far easier to remember."	2026-06-10 13:24	
Oh no!  It’s Ivanka’s Tangible Manifestation!	2026-06-10 13:57	
"Every time I hear about Ivanka’s Island, I think of Epstein Island

And I think to myself all the money Middle Eastern nurses are putting into this. Could it be because I ran bombing Dubai and other luxury gated communities within range?

They have to set up some new place for the fabulously wealthy"	2026-06-10 14:14	
