text	time	political_position
Who are you subtweeting here?	2026-03-03 17:29	middle
Not if they only do what's popular.	2026-03-03 17:30	middle
Lobbyists and the consultant class' livelihood relies on inauthentic politicians.	2026-03-03 17:34	middle
Sometimes people never learn what their favorite politicians say in interviews. www.youtube.com/watch?v=vf-k...	2026-03-03 17:34	middle
Sometimes, but most voters do not hold stable consistent coherent policy positions over time, and are remarkably malleable when a politician they identify with & perceive & admire as 'authentic' does something they might ordinarily oppose.	2026-03-03 17:39	middle
Regardless of that, John Fetterman is still an unfortunate presence in the Democratic coalition. And just when we’d gotten rid of Manchin and Sinema.	2026-03-03 17:41	left
I hate authentic politicians as a general rule. I don't want to know what you really think. I want to know what you'll do and how you'll respond to events. Your bullshit opinions are as valuable as literally anyone else's.	2026-03-03 17:41	middle
Unless it's Trump.. Then it doesn't matter if he's authentic, lies, or if he shows any class, or empathy, or even a minimal ability to speak in coherent sentences. 😡🤦	2026-03-03 17:43	center-left
Examples needed	2026-03-03 17:53	middle
Well, not really. I would rather deal with a chump than a snake any day.	2026-03-03 18:14	middle
So?	2026-03-03 18:16	middle
Is no authentic because we taxpayers dont manage them only authentic is when they vote for what people want done but in today's bribery politics it either bribes a politician or puts them in to obstruct or both , if you have an authentic politician you can't get one to carry out the peoples needs !	2026-03-03 18:28	middle
Rand Paul is the only authentic one of the bunch and he is mostly authentically awful.	2026-03-03 18:32	middle
"Yeah if they say something fucked up I'm gonna think it's fucked up. Kinda like when we're begging someone to end violence happening somewhere and in response she says ""I want us to have the most lethal military in the world."" That's fucked up. That's a fucked up thing to say."	2026-03-03 18:33	left
Incredible insight Matthew. People don't like things they don't agree with.	2026-03-03 18:34	middle
Most people don’t even have an authentic manager. Why they think getting an authentic politician is the most important thing and not, say, the policies the politician will support, is beyond me. “Trump just seemed more relatable” is going to be carved onto America’s tombstone.	2026-03-03 18:36	center-left
"Maybe they were just ""authentic"" assholes to begin with and we just missed it."	2026-03-03 18:38	middle
The word Authentic is overused. It is becoming a joke. Genuine is better.	2026-03-03 18:48	middle
Mediocre politicians like Hillary Clinton, Joe Biden and Nancy Pelosi are the worst. The people who continually vote for such politicians and their mediocre platforms are even worse.	2026-03-03 18:57	center-right
It’s when they contradict themselves that I get suspect.	2026-03-03 19:01	middle
They all can continue to go fuck themselves.	2026-03-03 19:18	middle
pundits think they are well-loved.	2026-03-03 19:22	middle
