text	time	political_position
Thank God!	2026-06-09 03:15	center-left
Pratt by name, Pratt by nature as the UK would say	2026-06-09 03:26	center-left
Good. He's a piece of shit.	2026-06-09 04:00	left
No one wants a reality star in politics. The 🍊💩🤡 in the WH is a shining example of why we must keep reality stars out of politics.	2026-06-09 04:02	left
💙	2026-06-09 04:05	left
Woohoo 👏🏽👏🏽👏🏽	2026-06-09 04:06	center-left
AMF!	2026-06-09 04:08	center-left
Piss off Pratt!	2026-06-09 04:15	center-left
Nobody likes a Sandy Hook denying asshole	2026-06-09 04:18	left
Pratt got the Trump vote from 2024. If he had gotten past Raman he would have lost bigly in November.	2026-06-09 04:20	center-left
Why are Republicans out of California surprised that a Trump aligned Republican did not advance to the General Election? Non CA Repubs who are closely aligned to Trump forget that LA is a Democratic City where Republicans are outnumbered by at least 4 to 1. No Trump aligned Repub could come 2nd.	2026-06-09 04:22	middle
pratt couldn't even get a job as a waiter like every other unemployed actor in LA	2026-06-09 04:23	center-left
Wonderful	2026-06-09 04:31	center-left
Not a pratfall it’s a prattfail!!😆😆😆 When is he leaving??	2026-06-09 04:32	center-left
Thank God. Don’t expect a concession, or even acknowledgment of losing. That fucking filthy thing set the bro loser playbook.	2026-06-09 04:32	left
So.... when is he moving?	2026-06-09 04:33	center-left
👏👏👏	2026-06-09 04:34	center-left
Pratt should move out from Los Angeles as he promised ! One less self-serve dumber is better for Los Angeles! 🤣	2026-06-09 04:41	center-left
The least prescient of the headlines a respectable publication might choose to highlight about this election. Fuck you, Forbes.	2026-06-09 04:52	middle
Where is Spencer living again?	2026-06-09 04:53	center-left
has he started packing for Montana yet?	2026-06-09 04:58	left
If Pratt wants to win an office in the California government, he can fuck off to Kern county and run for mayor of Bakersfield.	2026-06-09 04:58	center-left
I remember when someone like that was lucky to even approach five percent.	2026-06-09 05:11	center-left
🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻	2026-06-09 05:22	center-left
Bahahaha	2026-06-09 05:44	center-left
Upon reading this, I started doing this uncontrollably.	2026-06-09 05:49	center-left
time to lol and frolic la!	2026-06-09 06:06	center-left
So, where will he move since he said he’d leave if he didn’t win? He finally got more press than Heidi and she could be realizing he’s even more of a jerk in midlife	2026-06-09 06:09	center-left
Good now hopefully he will move like he promised.	2026-06-09 06:12	middle
California blondes are not as stupid as the pretend to be!	2026-06-09 06:16	center-left
Byyyyye	2026-06-09 06:40	left
My faith in Californians is renewed. FCK Trump and his MAGA fascist Republicans.	2026-06-09 06:56	center-left
Adios MF !	2026-06-09 07:01	center-left
So will it be Texas or Alabama now?	2026-06-09 07:12	center-left
He should not have been able to get that many votes...He has no experience in government at any level. Sad what people will fall for and vote for.	2026-06-09 09:09	center-left
My heart's bleeding .... Not	2026-06-09 09:26	center-left
Ba ha ha ha ha!	2026-06-09 09:54	center-left
When is he moving? Is he going to Oklahoma? Which red state is he going to?	2026-06-09 09:59	left
The right wingers are trying to stir up more violence with their predictable voter fraud mantra.	2026-06-09 09:59	center-left
Time to leave LA Spencey! You promised! GTFO! 🤣	2026-06-09 10:27	center-left
🙌👍	2026-06-09 10:40	left
Pratt asks- Was it my swastikas or my white white hoodie they didn't like......... 🤓	2026-06-09 10:47	left
Are his bags packed, ready to go?? Thought he promised to leave when he lost. Another magat lie??	2026-06-09 10:57	left
Pack up maga	2026-06-09 11:00	middle
With the state of the world wondering how THIS is news in June 2026: reality tv star loses local election.	2026-06-09 11:00	left
Contrary to trump’s lie about The California election, Pratt was never in first place and never had much of a chance in to stay in second place. Trump is ramping ip his election lies because he knows Republicans will take a beating in November because of his policies and their cowardice	2026-06-09 11:20	left
Since Pratt promised to leave LA, maybe there’s room for him at Mar-a-Lardo.	2026-06-09 11:49	center-left
Pratt beaten... by two women.	2026-06-09 11:51	center-left
Bye Felicia 👋👋👋	2026-06-09 11:55	center-left
He should be thrilled. That's .7% more votes than the total number of registered Republicans in Los Angeles. Looks fishy to me.	2026-06-09 12:24	left
Good. Pratt sucks ass.	2026-06-09 12:26	left
LOL! Proves people are tired of jellyfish backed fools and billionaires who spent big bucks on that nutcase.	2026-06-09 12:34	left
All the kings men couldn’t prop up Trump’s favorite new Humpty Dumpster candidate.	2026-06-09 12:50	left
Bet he cries, calls out rigged, all that childish GOP bullshit.	2026-06-09 13:01	center-left
Say bye piggy.	2026-06-09 13:06	center-left
It's rigged ayyyy	2026-06-09 13:15	center-left
👍🏼👍🏼👍🏼	2026-06-09 13:15	center-left
Good! He's just another pasty faced man that thinks the world revolves around him!	2026-06-09 13:15	center-left
Cannot even believe he got 25%	2026-06-09 13:26	center-left
Obviously rigged. How else do you explain a famous person with no experience or education, filled with terrible ideas, who keeps making outrageous claims with zero evidence losing an American election? Maybe he can run for County Dogcatcher?	2026-06-09 13:34	center-left
Classic pratfall!	2026-06-09 13:38	center-left
Good. is the message clear ?	2026-06-09 13:39	center-left
So he’s moving out of California, correct? Now he can go be stupid in some other state. 🙄	2026-06-09 13:42	center-left
Does that mean that he will now crawl back into his hole of obscurity?	2026-06-09 13:47	center-left
Aw, poor wittel poophead 💩	2026-06-09 13:51	left
"It's telling when the least qualified, the most obvious MAGA candidate loses ... DJT screams ""Fraud!"" immediately. No, Donnie ... CA knows you for a crook and you would use that guy to rape Los Angeles as well."	2026-06-09 14:00	center-left
Thank God.	2026-06-09 14:19	center-left
Well of course even they are getting tired of jokes	2026-06-09 14:27	middle
22,000+ vote margin. Not that close.	2026-06-09 14:30	center-left
And he cried like a little bitch	2026-06-09 14:33	left
What’s shocking to me is 25% of Angelino voters backing Pratt’s citizen concentration camp scheme.	2026-06-09 14:42	middle
ITS LA gang.. and you expect a GOP to be.. jfc. reality check.	2026-06-09 14:59	center-left
So when is he leaving L.A.? And I sure hope we don't get another foreign celebrity republican governor.	2026-06-09 14:59	center-left
TV Reality Show loser. Not surprising.	2026-06-09 15:00	center-left
Good to know voters in L.A. aren't easily fooled. Pratt shouldn't balk too much. Trump will find him a job in his administration.	2026-06-09 15:06	left
Why is o.k. for billionaires not to ever give us cost of living pay increases, as we fund their tax cuts to make them exponentially richer?😕enjhb	2026-06-09 15:06	center-left
Good. We need serious ppl not reality stars and Trumpsters	2026-06-09 15:29	left
Well fuck I hope he follows up on his move out of California promise. You know I hear that Russia loves and supports Americans who hate the left. I have heard nothing but good things from every expat who went there. We should convince all of these twats to go there.	2026-06-09 15:56	center-left
Given that only about 18% of the residents of Los Angeles are registered Republicans, I'd say somebody needs to investigate why he overperformed by nearly 8%. Sounds diabolical to me.	2026-06-09 16:02	left
Is that little bitch going to leave LA as he promised to do now that we defeated him Bye little bitch	2026-06-09 16:14	left
Mainstream media once again normalized Trump, Pukey Johnson bitching and whining about Pratt Losing. This will be their game plan for the midterm Elections. When do they find a spine and say “ NO, YOU LOST “.	2026-06-09 16:25	center-left
Los Angeles doesn’t want a mayor who lives in a double wide.	2026-06-09 16:25	center-left
AWESOME.	2026-06-09 16:30	center-left
Pratfall 👏🏻👏🏻👏🏻	2026-06-09 16:35	center-left
Of course he wasn't going to advance. He had trump's blessing. 🤣🤣	2026-06-09 16:47	center-left
🤣	2026-06-09 16:50	middle
Late night vote dumps.	2026-06-09 19:34	right
Praise the Lord . Thank Trump for Pratts demise	2026-06-09 19:38	center-left
Epic Prattfall!	2026-06-09 20:48	center-left
For Pratt to get 25% of the vote, it had to be rigged.	2026-06-09 20:58	center-left
Meanwhile Republicans are melting down 😂 Republicans Claim Voter Fraud in California, But Have No Evidence newsvideoclip.com/republicans-...	2026-06-09 21:24	left
I still can’t believe he got 26% of the votes. Must be those rich folks who live in Brentwood, Beverley Hills, etc.	2026-06-09 22:05	center-left
Oh look, another article about that guy.	2026-06-09 23:03	middle
Pratt fall.	2026-06-09 23:41	center-left
From who's basement will he be whining about losing	2026-06-10 00:11	center-left
👋	2026-06-10 01:08	center-left
lol get fucked chud	2026-06-10 01:15	left
Now let hime go back to wth he did before, make Heidi get another surgery? we don’t care let’s keep it that way	2026-06-10 01:22	center-left
25.8% is still too much.	2026-06-10 01:41	center-left
He swore he'd leave California if he lost. Well you lost, Spence. GTFO.	2026-06-10 02:21	center-left
