text	time	political_position
I think it worked. bsky.app/profile/rivk...	2026-06-09 16:23	center-left
Rule of Law	2026-06-09 16:57	middle
The billionaires are the real enemy	2026-06-09 17:06	left
Jeffrey Epstein's buddies are the greediest pigs in the universe 💯🌍	2026-06-09 17:09	left
Albanian needs more protesters in European capitals to show Member country governments support. Sorry. I’m a move to EU or European politics. I’m actually quite ignorant on it to be honest. But I’m willing to learn!!	2026-06-09 17:10	center-left
I hope that does something because of course, over the seas here, we didn't have anything but corruption to add	2026-06-09 17:18	center-left
Tax the rich!	2026-06-09 17:21	left
As it should...Italy and Europe should not want this.	2026-06-09 17:34	center-left
Why is o.k. for billionaires not to ever give us cost of living pay increases, as we fund their tax cuts to make them exponentially richer?😕ort	2026-06-09 17:42	left
And rightly so! Why should we accept that Trump/Kushner/Thiel would own a military base with nuclear bunkers and submarine port that could control the whole Eastern part of the Mediterranean? Look up what this project is really about! It's not a holiday resort!	2026-06-09 17:45	left
What about the Prime Minister? Wasn’t he the one who secretly changed the environmental protected zoning status on the island and approved the Kushner-Trump development? If so, he needs to be removed from power and held accountable.	2026-06-09 17:50	center-left
bsky.app/profile/mjkw...	2026-06-09 18:03	middle
Clearly, the real reason for kushner wants to develop that island, is to take control of the inlet 🤬 Albanians 🇦🇱 need to kick the trumps and their corrupt politicians OUT	2026-06-09 18:18	left
The Trump family is the most vile display of how wealth & the sociopathy of greed elevates monsters	2026-06-09 18:29	left
EVERYTHING THEY TOUCH DIES!!!	2026-06-09 18:34	center-left
They are right to reject Kushner. Throw out the trash.	2026-06-09 18:35	center-left
trump brand got screw wormed.	2026-06-09 18:42	center-left
Arrest these two assholes ( Ivanka & Jared ) and execute them.	2026-06-09 19:00	left
Nice!	2026-06-09 19:03	middle
Shame on EU	2026-06-09 19:04	middle
They'd rather be the 51st State of America....	2026-06-09 19:09	middle
Put Ukraine ahead of them.	2026-06-09 19:11	middle
More Trumps fucking things up!	2026-06-09 19:11	left
Albania was one of the countries most repressed by the USSR. They were forced to bend....but the people will not bend anymore. Certainly not to Putin's Americans. They do not sell their own land lands to the bringers of barbed wire and privilege.	2026-06-09 19:23	left
The solution for all is to tell jarred and ivanka to fuck off home to the dump called mar a lago.	2026-06-09 19:44	left
Albania's journey to integration will likely involve navigating complex political and economic reforms.	2026-06-09 19:46	middle
excellent	2026-06-09 19:51	middle
Not to mention the Prime Minister is an asshole trumper	2026-06-09 19:53	left
I wouldn't wnt a trump to come to my country and ruin it.	2026-06-09 20:06	center-left
Arrest them and confiscate all their assets and send them home!	2026-06-09 20:17	left
Trump hates the EU and NATO. Brexit has been a disaster for the UK, Trump, Murdoch and Farage love Brexit. www.bloomberg.com/opinion/arti...	2026-06-09 20:17	center-left
Bravo EU commission!!!	2026-06-09 20:49	center-left
They can fuck off with their fascistic corruption.	2026-06-09 20:58	left
"at first, I thought this was that the Commission was on the side of Jared, but the article's bullet points say: ""...officials warned the Albanian government the project could conflict with environmental benchmarks any country seeking to join the EU needs to meet"" so yes, Bravo EC!"	2026-06-09 21:10	middle
The Trump Family/Friends Are Becoming Pariahs In The Free World! And Nobody Wants Anything To Do With Them!	2026-06-09 21:17	center-left
Aren't Jared and Ivanka satisfied with ethnic cleansing and exploitation in Gaza? Is this a little side gig they're starting? Maybe they want to be the Chip and JoJo of fascist colonialism. A new market niche.	2026-06-09 21:31	left
It’s unbelievable how a very corrupt dictator like Trump, is still able to expand his totally corrupt and diseased empire. This must stop. This 34-time convicted dictator belongs behind bars. And many, many of his comrades too.	2026-06-09 21:48	left
😂😂😂😂😂😂😂😂😂😂😂😂 Fuck nasty grifters ivanka and jared.	2026-06-09 21:48	left
You can't be in the EU if you're against corporate destruction of the environment.	2026-06-09 21:57	center-left
Edi Rama has been PM of Albania since 2013. Rama’s greed and corruption is perfect lackey for the Nazi Kushner family to use. Albania can do better than this ancient greedy Nazi👇🏼	2026-06-09 22:12	left
What! WHY!	2026-06-09 22:16	middle
This is how these grifters get away with everything.	2026-06-09 22:16	center-left
Small price to pay, they aren’t going to embargo Albania over this conspiracy to seize control of southern European sea lanes.	2026-06-09 22:25	middle
Are you following this because of the environmental angle, or the bigger EU membership timeline?	2026-06-09 22:27	middle
Try downplaying the week long protests featuring tens of thousands of Albanians objections.	2026-06-09 22:31	center-left
What the fuck, EU?	2026-06-09 22:48	middle
Wow,way to throw yr weight around EU! Yr learning.	2026-06-09 22:50	center-left
😳 WHOA! + Good Job EU For Attempting To Protect Your Neighbors + Neighborhood!!!!	2026-06-09 22:54	center-left
Maybe Jared and Ivanka could find an island in the Everglades somewhere for all their friends. They would have extra friends with the alligators, snakes and pythons.	2026-06-09 22:55	center-left
Trump supporting “Forbes” purposely words the headline to avoid pointing out that the problem is the Jared and Ivanka project.	2026-06-09 22:58	center-left
Oh, Rama will be forced to resign. There will not be another peaceful day in Albania. They're bound and determined.	2026-06-09 23:02	center-left
The Trump Taint	2026-06-09 23:09	center-left
So much for democratic rights. Until we all have as much solidarity as the Epstein class, “nothing will fundamentally change,”just as Biden promised his owners.	2026-06-09 23:18	left
Yeah, you were scooped. Get cheaper.	2026-06-09 23:21	middle
It will take at least 10 years for Albania tp join the European Union. It doesn't happen over night	2026-06-09 23:42	middle
Threaten the main man's money flow. He'll pull the plug on that island pronto, without the 100 000 protesters	2026-06-09 23:44	center-left
Everything a Trump touches dies	2026-06-10 00:13	center-left
It’s about time the EU stood up to this American trash. Now they just need to boycott all things American but we know some of the EU trash will be here at the World Cup bc sports matter more than democracy to a certain demographic.	2026-06-10 00:54	left
Considering the deal looks as popular as colorectal cancer in the country, maybe the best option is not to go through with it.	2026-06-10 00:57	center-left
Join the juice party	2026-06-10 01:03	middle
Post communist countries like Albania have been slow in implementing legislation to return land and property previously confiscated by communists, so many people are shocked to find out they could just walk barefoot on a piece of land and the goverment will expedite you a deed to that land 😄	2026-06-10 01:45	middle
FAFO indeed. If they keep fucking around, they will find out. And they have been warned.	2026-06-10 01:48	center-left
No EU for Albania bc even current government is corrupt. Selling flamingos to Kushner is idiot move.	2026-06-10 02:07	center-left
Nasty pieces of work!	2026-06-10 02:15	center-left
That’s a real shitty way to get around what the Albanian people want with THEIR land. Not everyone thinks only about the money. A lot of people like our EARTH! The apple didn’t fall far from the tree branch! Yes I said branch! He’s no tree! Everyday it’s something with one of them, everyday!	2026-06-10 02:40	center-left
Don't the Kushners have enough money? Aren't there enough luxury hotels around the world? How about helping solve hunger, homelessness, gun violence, etc. instead of building yet another high priced hotel for rich people?	2026-06-10 02:59	center-left
Headline 2056: ’The European Commission has warned the English government about its efforts to join the EU’ Why The Trident Airstrip One Project Could Ruin England’s Bid To Join EU	2026-06-10 04:04	middle
The European Commission has warned #Money as RELIGION Let's #DESTROY work AND economy > DECOLONIZATION - EMANCIPATION	2026-06-10 05:45	middle
Most investors take quick returns. No one is interested in the long trade.	2026-06-10 07:16	middle
Albania should just become a US state. We want nothing more to do with anything that even smells like Trump	2026-06-10 08:20	center-left
scotland should close Trumps Golf resort before ever considering joining the EU again	2026-06-10 09:45	center-left
A good move and one that clearly supports the people protesting against the Kushner-Trumps.	2026-06-10 10:34	center-left
I don't claim to know anything about Albania's practices but couldn't they just deny a permit for Kushner to operate this thing he plans?	2026-06-10 10:42	middle
Fuck around, find out.	2026-06-10 10:45	center-left
The simple fact is this ... Siding with Trump in any way... ... means you support a criminal with a history of corruption and SA And therefore, identifies individuals, companies and countries... ...to avoid	2026-06-10 11:50	left
Well, you know Jared and Trumpette won’t care. Daddy want to destroy the EU one country at a time. It’s far too threatening to his extremism ideology to have a powerful collective of liberal democracies.	2026-06-10 13:08	center-left
Just put Jared, Ivanka and the leader of Albania is a nice prison, then it's legit.	2026-06-10 13:20	left
"What sticks with me is: ""Albania! You border on the Adriatic!"" from Cheers... and damn it if they weren't right that singing it makes it far easier to remember."	2026-06-10 13:24	middle
Oh no! It’s Ivanka’s Tangible Manifestation!	2026-06-10 13:57	center-left
Every time I hear about Ivanka’s Island, I think of Epstein Island And I think to myself all the money Middle Eastern nurses are putting into this. Could it be because I ran bombing Dubai and other luxury gated communities within range? They have to set up some new place for the fabulously wealthy	2026-06-10 14:14	center-left
"Seems this guy is the problem. ""Albanian PM Edi Rama has also vowed to move forward with the development despite the European Commission’s concerns, telling Reuters on Monday, “It's going to be a beautiful project and we're going to ⁠do it and we're going to be proud to contribute to Europe.”"""	2026-06-10 14:59	center-left
"Why? The EU so weak that it's kowtowing to Trump and American corruption schemes and ""values""?"	2026-06-10 15:59	center-left
Either Albania loses the Nazi pedos and protects the island for its indigenous people and wildlife or no goddamn EU membership. Fucking wannabe Nazi pedo government.	2026-06-10 17:22	left
