text	time	political_position
The SHOES!!!	2026-06-03 15:35	middle
LOL. The giant ugly shoes are the ultimate symbolism of this failing fucked up adminstration.	2026-06-03 15:36	center-left
it's amazing you can be such a simp to accept and wear shoes that don't fit. I would AT LEAST sneak off and buy the same shoes in the right size if the boss was checking.	2026-06-03 15:37	center-left
Humilization !	2026-06-03 15:37	middle
Right? And Marco Rubio voted to certify Joe Biden’s election and he still can’t answer the question! 🤬 So embarrassing that they continue to try to live in the old man’s delusional reality.	2026-06-03 15:37	center-left
“So then I said to her, ‘Is this the foreign affairs committee or is this a circus?!’”	2026-06-03 15:37	middle
It’s funny but they really don’t give a shit. They are in power and lording it over us and that’s all that matters	2026-06-03 15:38	center-left
Circled the sun a few times yet somehow didn’t know that noting the winner of presidential elections was outside the purview of the Secretary of State. Ludicrous clown shoes aside, what if someone asked Rubio who won the 2024 election. Would he duck that one?	2026-06-03 15:41	center-left
And political pundits think this is who the Republican party will nominate in 2028.	2026-06-03 15:42	center-left
You’d think so, but Rubio and other Trump sycophants have proven again and again that they’re virtually immune to humiliation.	2026-06-03 15:42	center-left
Those 2028 dreams just slipping away like his shoes slip around in those clown shoes	2026-06-03 16:05	center-left
Damn he looks stupid.	2026-06-03 16:33	middle
I keep saying.. If a persons resume would not get them hired as an ENTRY LEVEL worker, they sure as HELL should not be running the agency.	2026-06-03 16:36	center-left
Sooo his clown shoes fit just fine?!?!? I think his outfit is incomplete though 👇🏼🫠	2026-06-03 18:22	middle
Li'l Marco's twinkle-toes fit just fine in the Florsheims. He's the MAGAt Cinderella.	2026-06-03 18:57	center-left
🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡	2026-06-03 20:30	middle
"""The Florsheims fit fine"""	2026-06-04 03:04	middle
Did taxpayers pay for those shoes or did trump. Taxpayers paid!	2026-06-04 11:25	center-left
