text	time	political_position
Just more lies out of Trump’s candidates	2026-06-17 15:31	
Gold standard is going back to the dark ages..	2026-06-17 15:31	
"Just like the ""Peace President"" who is as addicted to war as his kid is to cocaine."	2026-06-17 15:32	
They just lie boldly and think everyone will nod and accept it all.	2026-06-17 15:37	
They are all lying all the time.	2026-06-17 15:39	
That whole regime is full of nothing but rotten, lying phonies. 🤮	2026-06-17 15:39	
Gold standard science? How is slashing cancer research even one iota a semblance of science. Where is your data, hypotheses, conclusions? That is parts of science. Gutting something to benefit others is just cruel and sun human. MO	2026-06-17 15:46	
“Gold” that’s Hobby Lobby gold.	2026-06-17 15:47	
😂	2026-06-17 15:47	
"They all lie.  It’s all bullshit. They don’t care what the Senators say, since the they’ll get confirmed anyway.
Since at least Clarence Thomas, the GOP has known that it’s usually just performative posturing over Republican nominees."	2026-06-17 15:48	
Trump acolytes lie like a rug.	2026-06-17 15:50	
If they actually supported science gender identity wouldn't be attacked, children's programs wouldn't be cut, disability, cancer research, and communicable diseases would have better funding and the list goes on and on and on...	2026-06-17 15:53	
"This so-called ""administration"" is committing crimes and does nothing but lie, steal, cheat and hurt people."	2026-06-17 15:55	
🤣😆😂🤣😆🤣😂🤣😆🤣😂🤣😆🤣😂😂	2026-06-17 16:01	
Again, we must resist moron Trump and his moron sycophants to survive as a species.	2026-06-17 16:01	
“Gold standard” …	2026-06-17 16:01	
How can they tell such bare-faced lies, when everyone can see what they are actually doing? It boggles my mind.	2026-06-17 16:03	
What happened to Russell Vought?	2026-06-17 16:04	
Gold standard science = cutting funding & banning “viewpoint discrimination” at elite universities. This would be comedy gold if it didn’t cost thousands of lives	2026-06-17 16:05	
Liars. The entire regime is full of liars.	2026-06-17 16:05	
Stunning that Hal thought he could get away with that porky.	2026-06-17 16:06	
"There is no such thing as a ""Gold Standard of Science"".  That is a made up phrase to pass off pseudoscience that aligns with the MAGA narrative.

These fuckers need to stop legitimizing the bullshit from the GoP by repeating made up nonsense words and phrases.

This is utter stupidity."	2026-06-17 16:06	
"Forbidding cancer mRNA vaccines because they are, gasp, vaccines, is not gold standard science. 
Slow walking any research grants to put sand in the gears is not supporting gold standard science. 
Forbidding international collaborations with Europe or Canada is not supporting gold standard science"	2026-06-17 16:07	
They say one thing while doing another thing and then bs about it hoping people will just accept it. Fuck that!	2026-06-17 16:08	
"Thanks for the laughs Hal!
#FuckTrump"	2026-06-17 16:09	
I don't get the defunding of cancer & other medical research. It's penny wise and pound foolish. Totally based on personal ideology not evidence	2026-06-17 16:10	
"OMG THEY LIE. 
WE SEE what they are doing!!!!"	2026-06-17 16:11	
Hal Duncan must be what? 24 yrs old? He should think twice about taking a criminal job he'll be ruined for life for long after trump is dead...	2026-06-17 16:13	
Who is this guy? Looks like a 20-something young Repug club campus fascist.	2026-06-17 16:14	
"All the R&D opportunities that the US has squandered over the past year. 

This will take years to undo."	2026-06-17 16:14	
If their lips are moving they’re lying.	2026-06-17 16:16	
His name is “Hal” - I mean c’mon - fuck that guy. You just know he is a dickhead	2026-06-17 16:16	
The most important qualification to work for this regime: shamelessness and master prevarication.	2026-06-17 16:16	
the reason the Trump punks use the word gold so much is to honor trumps love of golden showers 🤮	2026-06-17 16:20	
Why do we need research? I’m sure this regime will tell you ivermectin and a shot of bleach will cure cancer.	2026-06-17 16:23	
" Your attention needed PLEASE @democrats.senate.gov

BLOCK OMB rule 2026-0034
That will provide for VETO POWER by SENIOR POLITICAL APPOINTEES of every 
-scientific research project & 
clinical trial at any time, 
-override results
-whether papers are published, -results announced 

#ScienceMatters"	2026-06-17 16:23	
Their gold standard is like the gaudy plastic gold sprayed deco plastered on the walls of the WH: fake,cheap,inauthentic, snake oil BS.	2026-06-17 16:23	
"The only ""Golden"" is the shower we're getting!!!"	2026-06-17 16:24	
Must be a 'fake gold' standard that this bootlicker's referring to?	2026-06-17 16:24	
Who is this ubermensch?	2026-06-17 16:25	
If only she didn't suck.	2026-06-17 16:25	
When his boss commands him to jump, Hal inquires about the height of the jump.🧐🤣🤣🤣	2026-06-17 16:29	
They know we know they're lying. They don't care. They're lying to the people who can't tell they're lying.	2026-06-17 16:31	
Stupidity is contagious! Touched by the felon and got infected!	2026-06-17 16:32	
"This administration hasn't a hint of a clue what ""gold standard science"" looks like, and not a single person with a chance of ever getting a clue."	2026-06-17 16:33	
Fuck all these shitheads.	2026-06-17 16:33	
And they say it with a straight face.	2026-06-17 16:35	
So,blood letting,using leeches?	2026-06-17 16:36	
talkingpointsmemo.com/news/trumps-...	2026-06-17 16:45	
"Whenever anyone in the current regime references ""Gold standard science"", it's always in reference to the opposite of that, just like every accusation is a confession and a chance for projection."	2026-06-17 16:50	
The horrible figure of Kennedy Junior looms as I hear him speak and makes me splutter.	2026-06-17 16:52	
There is no such thing as gold standard science. Just like there is no such thing as gold standard walking. You are either doing science or you are not.	2026-06-17 16:53	
"This administration is sooooo far away from the gold standard in cancer research, or any science for that matter.

How does that guy say that with a straight face? He can't be that stupid. Can't understand how power and prestige is more important than cancer research."	2026-06-17 16:53	
I am so sick of these dickweed little Nazi babies	2026-06-17 16:53	
Trump has lied and gotten away with it forever...as a malignant narcissist he truly believes he can fool everyone. And sadly, deeply stupid, sad little baby men are trying to do the same thing.	2026-06-17 16:54	
You go girl...	2026-06-17 16:55	
If it were “gold standard science”, there wouldn’t be a political appointee even talking about this because he is not a scientist.	2026-06-17 16:57	
"“Gold” standards indeed.
More like, gold in color only."	2026-06-17 16:58	
Why do they all have to be so damn creepy.	2026-06-17 17:00	
Love Slotkin	2026-06-17 17:00	
If you work for this corrupt Regime you must learn how to Gaslight with impunity…..	2026-06-17 17:01	
How is this not lying to Congress?	2026-06-17 17:03	
The installation of a fascist Mafia continues with this episode of performative lying accompanied by sour grapes. 🤷🏻‍♂️🚩🚩🚩🚩🚩🚩🚩	2026-06-17 17:03	
The mutants are not interested in science. I hope they all develop malignant cancers that could have been prevented by the research efforts they destroyed. That will give them time to think about what they’ve done while undergoing ugly protracted deaths.	2026-06-17 17:07	
Yeah but their “gold standard” is about who pockets the gold, not the quality of the science.	2026-06-17 17:09	
They mean gold like that tacky spray on Great Value gold in the oval office.	2026-06-17 17:11	
Mouth moves but lies come out. Lies are a requirement if you want to be part of Trumpland .	2026-06-17 17:12	
Adding gold leaf to everything does not equate to gold standards. 😒	2026-06-17 17:17	
"Trump Continuing to nominate & promote the Unqualified & Incompetent to federal government positions. Trump continues to Expand the Swamp - just look at his work on the Reflecting Pool. I wouldn’t hire him to even net the pool
A total Clown Show 🤡!"	2026-06-17 17:21	
Sounds like a case of 'gold standard' doublespeak. Slashing research doesn't exactly scream 'commitment to excellence'.	2026-06-17 17:22	
"I would ask him to define ""gold standard science"" and to give three examples."	2026-06-17 17:24	
This admin says all the right things then does all the wrong things. Exactly the opposite of what they say. Can bank on it.	2026-06-17 17:26	
And just remember you can smile and lie and the majority of the GOP in this country is so fucking dumb they think that what is said is more important than what is done.	2026-06-17 17:30	
"Republicans could stop this nightmare at any time, but refuse to do so because they are complicit.

#RepublicansAreDestroyingAmerica"	2026-06-17 17:42	
Isn’t it amazing/disappointing to see so many Whites so willing to compromise themselves and betray America in order to join Shitler in destroying it?	2026-06-17 17:43	
Unfortunately, Cancer makes so much money curing it and preventing it would cause financial pain for pharmaceutical companies. We the average people have to suffer so billionaires do not 🤨	2026-06-17 17:45	
"I don't know who Hal Duncan is, but I'd imagine he could not define ""gold standard science.""  This administration has a fetish for gold, and just decided to create this phrase to mask the Project 2025 ideology and dogma behind it."	2026-06-17 17:49	
👇	2026-06-17 17:50	
The 12 year-OMB nominee has the Gaul  to say that this administration is committed to a gold standard of science when their goal is to erase science? Am I hearing this correctly?	2026-06-17 17:50	
Buzz words that mean jack shit coming out of his mouth.	2026-06-17 18:02	
"I have a fucking PhD in a science field and I never heard any single scientist use the term ""Gold Standard Science"" prior to MAGA/MAHA coining that term. 

Good science is based on creativity, rigor, and peer review, not political favoritism. 

And it takes resources."	2026-06-17 18:09	
“gold standard” like the White House that chintzy DJT has desecrated over and over	2026-06-17 18:11	
What do you people want a cure for cancer or Elon Musk to get a little more money in his pocket?	2026-06-17 18:14	
