text	time	political_position
Not to mention, under current US law, billionaires collect Social Security. That money should be used for seniors who desperately need it.	2026-06-09 18:46	center-left
Perfect timing. 🙄	2026-06-09 18:53	middle
So maybe someone should tell the orange demon that we need: ✅More immigrants To add to our labor force And to increase birthrates ✅Childcare ✅Affordable healthcare ✅Affordable housing ✅Affordable groceries and gas ✅Strong public schools To help solve this problem.	2026-06-09 18:53	left
The Nazi US is already insolvent 😂 loser country with a pedophile president 🤣	2026-06-09 18:55	left
And mismanagement of the funds people have been paying all their lives.	2026-06-09 18:59	middle
Why is o.k. for billionaires not to ever give us cost of living pay increases, as we fund their tax cuts to make them exponentially richer?😕enhnmf	2026-06-09 19:06	left
And they're planning to cut it after the midterms and take the rest of the money for themselves. Republicans suck.	2026-06-09 19:08	left
Of course	2026-06-09 19:13	middle
Tax the rich!	2026-06-09 19:17	middle
"""fewer immigrants working in the U.S. have all pushed up a predicted depletion date"" Ok so lets remove the cap on Social Security and Medicare (FICA) taxes that the millionaire and billionaire enjoy!"	2026-06-09 19:20	left
Tax cuts for seniors? When did that happen i’m still waiting for mine	2026-06-09 19:22	center-left
Tax the fucking 1%	2026-06-09 19:22	center-left
"The promised ""no taxes on SS"" was broken. SS tax should be changed so that the maximum amount deducted per year is NOT the same whether one earns low 6 figures or a trillion. Imagine the increase in the depletion date that would occur if they contributed based on actual income, not this maximum."	2026-06-09 19:29	left
Just remove the cap.	2026-06-09 19:34	center-left
Yet no one demands action by our government! There are some easy fixes.	2026-06-09 19:41	center-left
Instead of funding wars, we could fund this.	2026-06-09 19:47	middle
"Forbes is on the front line of Social Security privatization and handing it to Wall Street. They've been publishing a BS ,""The Sky is Falling"" Social Security article once a month for decades. The fund they"	2026-06-09 19:48	left
"#SocialSecurity #immigrants ""In 2022, the undocumented contributed $26-27B in payroll taxes into SS. Bk they can't claim them, funds remain in the system, hence the solvency of SS."" SS Admin: “unauthorized workers in the US, on average, a + effect on the fin status of SS.” tinyurl.com/57jt8t98"	2026-06-09 20:00	left
All easily addressed by removing the income cap on Social security deductions	2026-06-09 20:24	center-left
maybe if repubs. the money they borrowed from the fund and never returned. or the rich paid there fair share. no tax cuts for seniors btw. that was another lie.	2026-06-09 20:40	center-left
SCRAP THE CAP EASIER TO PASS IN CONGRESS THAN A DECLARATION OF WAR	2026-06-09 20:52	left
How about just removing the income cap? That will fix it.	2026-06-09 21:12	center-left
Tax the rich and have them pay into social security.	2026-06-09 21:14	left
BUT every d@mn asshole bitching about immigrants in our country say they don’t contribute and they get free SNAP and healthcare.. Seems they kept our retirement funds full while Republicans keep trying to steal more of it!	2026-06-09 21:37	left
Get fucked liars	2026-06-09 21:42	center-left
Remove the income cap for SS tax witholding. 🤷 I'd certainly pay more. Better than my mom getting benefit cuts becuase the feds looted the decades of SS surplus and replaced it with bonds/IOUs just to mask their deficit bullshit.	2026-06-09 21:56	center-left
Republicans need to pay back the money they borrowed.	2026-06-09 21:59	center-left
Jeffrey Epstein's buddies want your property so you have to die 💯🌍	2026-06-09 22:00	left
All thanks to Donald Trump ..all of it…. How can a country be so fucking stupid as to vote for their own extinction?	2026-06-09 22:01	left
With Trump in office he wants to kill Social Security and keep the money for himself	2026-06-09 22:06	left
Wonder why! Blame your local Christian Nationalist Republican!	2026-06-09 22:09	left
It’s bullshit. First, havr congress repay what they’ve ‘borrowed’…	2026-06-09 22:11	middle
Ah, but, per MAGA, we must cleanse our country of the most hard working and productive workers we have, immigrants.	2026-06-09 22:17	left
This report comes out at least once or twice a year every year, why not report that next year Mike Johnson is wanting to cut Medicare, Medicaid and Social Security and not for the reasons of the well running dry but because the government is so far in debt by wasteful spending and thieving.	2026-06-09 22:18	center-left
Get rid of stepped up basis which allows billionaires to leave money to their heirs tax-free, from generation to generation, creating dynastic super wealth. Get rid of the widespread and pervasive abuse of 501 (c) (3) and 501 (c) (4) tax exemptions for so-called churches, and billionaire lobbyists.	2026-06-09 22:21	left
Get rid of the cap and tax the rich	2026-06-09 22:21	left
It’s going to be the same in Britland. I’m old and I benefit from this Ponzi scheme. The young are suffering for my benefit and it is wrong. All benefits including pensions should be means tested.	2026-06-09 22:34	center-right
Unless blue wins 2028 POTUS elections.	2026-06-09 22:48	center-left
After that we hunt and eat the rich.	2026-06-09 22:48	left
Tax cuts for seniors? Ya, that’s the reason. 🖕you!	2026-06-09 22:52	left
Nothing but winning under #Trump. Of course the fuckface will probably be dead by then, and couldn't care less. Thanks MAGA!	2026-06-09 22:56	left
Any GenXrs remember during the Reagan years the critics of his tax cuts were telling us “we’re selling out our children and grandchildren & they’ll be the ones to pay for it?”.	2026-06-09 23:06	center-left
There is absolutely nothing stopping the government from issuing SS payments regardless the balance of the trust fund - just like several of the other SS programs.	2026-06-09 23:08	middle
Guess its time to raise the limit on annual earnings from 180k to infinity.	2026-06-09 23:13	left
All part of the gop’s plan. Next they will propose to “save” it by privatizing it	2026-06-09 23:18	center-left
Not if you lift the cap!!	2026-06-09 23:26	left
Tax cuts for seniors? Tax cuts for senior billionaires is more like it. Remove the ceiling for paying into the SS fund and all of its funding problems melt away.	2026-06-09 23:30	middle
Here it comes…smh	2026-06-09 23:37	center-left
Are we great again yet?	2026-06-09 23:45	center-left
end the cut-off	2026-06-09 23:50	left
Why is it so hard to tax the rich at the same rate as the middle and lower classes ffs We pay 14%, millionaires pay 2% and billionaires pay .002%. just make it the same across the board and problem solved	2026-06-10 00:17	left
Maybe Congress should refund the trillions they've stolen from it to par for wars and tax cuts for billionaires. It's our money, not theirs to take.	2026-06-10 00:22	center-left
Unless Congress actually does their job to adjust the payroll tax for folks making over $250k	2026-06-10 00:24	center-left
end the cut-off	2026-06-10 00:29	center-left
Remove the earnings cap and tax capital gains at 20% and it’ll be fine and then some.	2026-06-10 00:54	center-left
The Big Lie It is literally impossible for the U.S. Gov't to run out of Money Social Security is not funded by SS Taxes The U.S. Gov't creates $40 Billion a Week just for Social Security, about the same as it does for the War Machine. Learn MMT like you Life depends upon it because it does. #MMT	2026-06-10 00:55	middle
I’m quite stunned and demoralized by how few people here grasp the basic principles of how the self-funded Social Security program works, and how it has worked for 80 years. If you’re going to try to save/protect a program like SS, start by at least understanding how it is structured.	2026-06-10 01:04	left
Let’s not forget funneling tax money to the felon in chief’s bank accounts for his vanity projects.	2026-06-10 01:05	center-left
It’s been the Republican plan for decades	2026-06-10 01:16	middle
If we have to have these AI Data Centers, they should have to pay a really big social security tax to care for all the people they are displacing.	2026-06-10 01:31	middle
Y'all keep your grubby mitts off our money	2026-06-10 01:40	middle
Congress borrowed from Social Security and they must pay it Back!	2026-06-10 01:52	middle
WHAT?? WHAT???	2026-06-10 02:02	center-left
That’s six years people.	2026-06-10 02:13	middle
How much money do these billionaires need to be happy?	2026-06-10 02:26	center-left
they have been saying this forever	2026-06-10 02:29	center-left
Pop that cap.	2026-06-10 02:30	center-left
how about republicans repay the loan they took from social security	2026-06-10 02:34	middle
Immigration is what makes America great.	2026-06-10 02:42	middle
Who wants to bring kids into our modern hellhole?	2026-06-10 02:49	left
"I paid into Medicare and Social Security my entire working life. I am ""entitled"" to either an entire refund of the money the government mandated be taken out of my pay checks plus interest for the past 50 years or Social Security checks and Medicare coverage when I turn 65."	2026-06-10 03:05	middle
We all know the solution is scrapping the cap but then rich people will get mad 😡. Can we stop coddling the wealthy so ordinary elders don’t become homeless?	2026-06-10 03:43	center-left
Typical Boomer “got mine, fuck you”	2026-06-10 04:00	left
"Remember Al Gore's ""Lock Box"" that everybody laughed at?"	2026-06-10 04:19	center-left
Capitalists keep saying this while they take money from the tax coffers for their yachts.	2026-06-10 04:46	left
Tax cuts for seniors? I pay more taxes on my Social Security than billionaires pay for anything.	2026-06-10 05:39	center-left
F N republicans!	2026-06-10 06:06	center-left
The government needs to pay us back the money they stole with interest. They are not good stewards of our money!	2026-06-10 06:50	center-left
Eliminate the cap.	2026-06-10 07:15	left
Once the billionaire class start paying a fair percentage and the cap on contributions removed, SS will be fine for a long time..	2026-06-10 07:56	middle
What’s a solution? Oh wait eliminate the cap	2026-06-10 09:05	left
Meanwhile Congress just authorized another $70B for ICE and border patrol to make this worse. Let's get rid of all of the people who pay taxes into the system and get no benefits.	2026-06-10 10:22	left
A country's purposeful suicide.	2026-06-10 10:23	left
If they take the people's retirement, the people will take theirs. Albeit the people will prove more absolute. They need us to survive, we don't need them. Let the weak parasite class atrophy and die like their starved namesake.	2026-06-10 10:27	left
GOP break everything they want to eliminate.	2026-06-10 10:36	left
super.. yes thats fecking lovely. oh and dickhead doing market manipulations is destroying 401ks so basically you will work til your dead but then you wont be able to work because youll be to old ugly and ai.. yeah so youll have to sell your organs to rich people.. I get it. The US is shit	2026-06-10 11:02	center-left
They’re gonna kill social security and put us all out on the streets by hook or by CROOK. 🍑💩	2026-06-10 11:15	left
We can rebuild it with funds liquidated from Trump’s estate when he’s in prison.	2026-06-10 11:33	middle
So, our working undocumented immigrants were paying into a system they could never receive benefits for and now that system is in trouble. Go figure...	2026-06-10 12:07	left
Tax breaks for billionaires and corporations, you mean!!! And mass deportation of hard workers who paid into Social Security with no hope of ever receiving it themselves. None of this is unexpected; Trump destroys everything.	2026-06-10 12:17	middle
nope, that prediction date was stated some years ago.....	2026-06-10 12:30	middle
If you keeping spewing these lies over and over, people believe it! GOP is coming for our SS, Medicare/caid after the midterms. If they win it will be devastating!	2026-06-10 12:36	middle
Lower birthrate would have the opposite effect.	2026-06-10 13:20	middle
Can the Babyboomers stop being greedy? No, apparently they can't	2026-06-10 13:35	middle
"I paid into Medicare and Social Security my entire working life. I am ""entitled"" to either an entire refund of the money the government mandated be taken out of my pay checks plus interest for the past 50 years or Social Security checks and Medicare coverage when I turn 65."	2026-06-10 14:18	center-left
And yet, Congress/Trump knows how easily this can be avoided with raising the wage limit, raising the tax and raising retirement age (or doing away with early retirement). Instead, they spend BILLIONS on an illegal war and on ICE so they can torture non criminal immigrants.	2026-06-10 14:38	left
There is a theory that with as little as 2 minutes of boiling billionaires are willing to work for society’s overall good and release most of their money …	2026-06-10 14:40	center-left
"Shut it Forbes. If you were truly a respected purveyor of truth + knowledge, you'd know that there are multiple remedies to completely avoid this ""depletion"" of SS funds which we've been discussing gor decades. Keep up, if you can, forbes"	2026-06-10 15:00	left
This is another “zombie lie”, or lie that won’t die. Remember who reads Forbes, who runs Forbes and who gets written about in Forbes. They’re happy to propagate this lie.	2026-06-10 17:59	middle
My local MAGA politician is already on my To Do list.	2026-06-11 00:47	left
