text	time	political_position
keep on saying it vance.....someone will believe you	2026-06-15 14:27	
Liar!!	2026-06-15 14:27	
Hahahaha right.	2026-06-15 14:27	
🤣😆🤣 TRUMP SURRENDERED!!!	2026-06-15 14:27	
Sure, Jan…	2026-06-15 14:27	
Define “fundamentally”	2026-06-15 14:27	
Fundamentally	2026-06-15 14:28	
Donald Trump and Republicans have fundamentally bankrupted the United States, and no one seems to care.	2026-06-15 14:28	
I don't hear a 'win' in any of that. Besides the fact that he lies for a living so I'm not sure why he is being interviewed in the first place.	2026-06-15 14:28	
Vance is, fundamentally, an idiot.	2026-06-15 14:28	
Vance, another notorious liar.	2026-06-15 14:28	
Yeah, right. Give them hundreds of billions then.	2026-06-15 14:28	
Isn't there a virgin couch he can fuck somewhere?	2026-06-15 14:28	
Faux hillbilly learns new word. He's fundamentally an idiot.	2026-06-15 14:28	
Costanza Rule: it’s not a lie if you believe it.	2026-06-15 14:29	
"So, a win cost us, the taxpayers, over 100 billion dollars?! 

Sounds like a disaster and a huge loss to me!"	2026-06-15 14:29	
Why are we giving them huge dumps of money. And why are you protecting a known pedophile ring including your boss?	2026-06-15 14:29	
More accurate would be “this is fundamentally a spinning-of-win to the American people”.	2026-06-15 14:29	
They fundamentally had a fundamental nuclear program because your fundamental boss fundamentally tore up the fundamental JCPOA.	2026-06-15 14:29	
Someone learned a new word!	2026-06-15 14:30	
This is the BS they are going to go with to make the pathetic weak deal seem like a win	2026-06-15 14:30	
"Then why are you giving them billions of dollars? 
If this is such a slam dunk, why are you fucking compensating them?"	2026-06-15 14:30	
Up is down, black is white, surrender is victory.	2026-06-15 14:31	
Fundamentally my dear Watson. The Iranians know that not all their nuclear program was destroyed.	2026-06-15 14:31	
I laughed so hard at this, I nearly “split a gut,” as they say. 😂😂😂	2026-06-15 14:31	
This #Sofasexual knows nothing.	2026-06-15 14:32	
He's full of bull and he knows it. Pathetic. 😐	2026-06-15 14:32	
Because trust in Trump is something everybody has	2026-06-15 14:32	
